,Normal,Problem,Problem_vs_Normal
recent7_disconnections,14.234485321441843,278.494828700711,19.564797912377323
recent28_disconnections,65.59308807134894,1096.077569489334,16.710260207555326
previous21_disconnections,51.3586027499071,817.5827407886231,15.919100150949921
recent7_disconnection_hours,12.825157933853585,68.80413703943115,5.364778928594255
recent28_disconnection_hours,55.229282794500186,265.8581124757595,4.813716547161718
previous21_disconnection_hours,42.4041248606466,197.0539754363284,4.647047335227652
recent7_no_conn_importance_mean,124.74220038950762,539277.7477553694,4323.1380084003185
recent28_no_conn_importance_mean,690.0907638563526,471031.24640255386,682.5641945565909
previous21_no_conn_importance_mean,1022.7606633575957,487943.0462734885,477.0842913254332
recent7_offline_hours,4.239768002394814,200.7842441463765,47.35736578816681
recent28_offline_hours,29.563857715017132,772.6778585793293,26.135894240447623
previous21_offline_hours,25.32408971262232,571.8936144329526,22.582988013500163
recent7_coverage_ratio,0.23425085381607116,0.18616244574752974,0.7947140542492988
recent28_coverage_ratio,0.9252808634602112,0.7504756710376458,0.8110787769144407
recent7_rx_packets,42758.31140839837,38940.51842275372,0.9107122601456432
